id	EC
ChiCTR2300072413	既往曾行TIPS或外科分流；
ChiCTR2300072413	肝癌或其他恶性肿瘤；
ChiCTR2300072413	存在内镜治疗、β-受体阻滞剂及TIPS禁忌症；
ChiCTR2300072413	近期或正在参加其他临床试验者；
ChiCTR2300072413	研究者认为不适合加入本研究者。
ChiCTR2300072413	门静脉海绵样变；
ChiCTR2300072413	既往曾行TIPS或外科分流术；
ChiCTR2300072413	肝癌或其他恶性肿瘤；
ChiCTR2300072413	存在内镜治疗、β-受体阻滞剂及TIPS禁忌症；
ChiCTR2300072413	妊娠期或哺乳期女性；
ChiCTR2300072413	3个月内应用过泻药或者治疗腹泻的药物；
ChiCTR2300072413	最近出现过饮食习惯的改变，例如转为半素食或者全素食；
ChiCTR2300072413	存在复杂性感染以及菌血症；
ChiCTR2300072413	存在其他严重的器官衰竭的病史（例如癫痫，获得性免疫缺陷等）；
ChiCTR2300072413	半年内曾经行肠道手术；
ChiCTR2300072413	曾行回盲部手术或者目前存在造瘘口；
ChiCTR2300072413	1个月内曾行肠镜；
ChiCTR2300072413	近期或正在参加其他临床试验者；
ChiCTR2300072413	研究者认为不适合加入本研究者。
ChiCTR2300071459	年龄大于75岁；
ChiCTR2300071459	晚期肝癌或其他恶性疾病；
ChiCTR2300071459	门静脉血栓形成（大于50%）；
ChiCTR2300071459	Child—Pugh评分>14分或MELD评分＞30分 ；
ChiCTR2300071459	NSBB的禁忌症；
ChiCTR2300071459	既往TIPS手术史、脾切手术史；
ChiCTR2300071459	严重冠心病、高血压或心肺功能衰竭；
ChiCTR2300071459	研究者认为不适合参加本研究者
ChiCTR2300071030	既往腹部手术史（如肝切手术、肝移植）；
ChiCTR2300071030	组织标本长度小于10mm。
ChiCTR2300069862	TIPS手术失败者；
ChiCTR2300069862	既往曾行TIPS或者外科分流手术；
ChiCTR2300069862	既往曾反复发作肝性脑病（大于2次）；
ChiCTR2300069862	TIPS术前合并完全阻塞性PVT或门静脉海绵样变；
ChiCTR2300069862	术前已使用抗凝/抗血小板药物，或存在抗凝/抗血小板禁忌症；
ChiCTR2300069862	血小板数量<30*109/L、国际标准化比值（INR）>2或血红蛋白<70g/L；
ChiCTR2300069862	肝硬化合并食管胃底静脉曲张出血未控制或稳定时间小于2周；
ChiCTR2300069862	合并布加综合征、易栓症、血液系统疾病或其他可能影响凝血功能情况（感染、急性肾损伤等）；
ChiCTR2300069862	肝功能Child-Pugh评分大于等于10分（Child-Pugh C级）；
ChiCTR2300069862	心脏、肺、肾（CrCl＜30ml/min）、脑等重大脏器功能不全；
ChiCTR2300069862	米兰标准以外的肝癌及其他恶性肿瘤；
ChiCTR2300069862	来自高海拔地区（>2500米）；
ChiCTR2300069862	孕妇及哺乳期妇女。
ChiCTR2300069471	经 CT 或 MRI、组织病理学等检查证实肝硬化合并肝癌或组织病理证实存在胃癌、胰腺癌等其他恶性肿瘤的患者；
ChiCTR2300069471	Child Pugh 得分> 12；
ChiCTR2300069471	肝硬化合并系统性红斑狼疮，克罗恩病、溃疡性结肠炎等炎症性肠病的患者；肝硬化合并血液系统疾病的患者；
ChiCTR2300069471	严重心肺功能不良；
ChiCTR2300069471	近一月有饮酒史，或抗生素、益生菌使用史；
ChiCTR2300069471	患有神经系统疾病，如阿尔海默氏病，帕金森病，非肝脏代谢性脑病；
ChiCTR2300069471	使用抗精神病药物，如抗抑郁药或镇静剂；
ChiCTR2300069471	有显性肝性脑病发病史的患者；
ChiCTR2300069471	孕妇或哺乳期妇女；
ChiCTR2300069471	研究者认为有其它不适合纳入因素的患者。
ChiCTR2300068535	TIPS术失败；
ChiCTR2300068535	严重心功能不全，肾功能不全（eGFR<30ml/min/1.73m
ChiCTR2300068535	合并肿瘤；
ChiCTR2300068535	排除腹水影响，BMI>28kg/m2的肥胖者或严重高脂血症者；
ChiCTR2300068535	对乳清或豌豆蛋白过敏。
ChiCTR2300068528	器官功能障碍疾病史：心衰、肾衰竭等;
ChiCTR2300068528	患有不能配合内镜检查的精神疾病者；
ChiCTR2300068528	处于低血压休克状态或初始复苏后病情尚未稳定的、需要进行紧急干预的患者；
ChiCTR2300068528	肝恶性肿瘤以外的其他恶性肿瘤患者；
ChiCTR2300068528	肝硬化静脉曲张出血以外的其他原因引起的上消化道出血，如消化性溃疡、胃部肿瘤等；
ChiCTR2300068528	妊娠期女性；
ChiCTR2300068528	研究者认为有其他原因不适合参与本研究。
ChiCTR2300068160	晚期肝癌患者（CNLC 分期Ⅳ期患者） ；
ChiCTR2300068160	中晚期肝衰竭患者；
ChiCTR2300068160	合并其他系统严重疾病， 如严重内分泌、 心、 肺或肾疾患者；
ChiCTR2300068160	HIV 感染或梅毒感染者；
ChiCTR2300068160	研究者认为可能会干扰受试者的治疗或干扰受试者的依从性， 包括任何未被控制的具有临床意义的泌尿、 循环、 呼吸、 神经、 精神、 消化、 内分泌、免疫等系统疾病及肿瘤；
ChiCTR2300068160	对精氨酸谷氨酸注射液或注射用门冬氨酸鸟氨酸中任何成份过敏者；
ChiCTR2300068160	筛选前 3 个月内参加过其他临床研究且使用研究药物者；
ChiCTR2300068160	筛选前 2 个月或者估计受试者在研究过程中可能会使用肾毒性药物（如氨基糖甙类、 两性霉素 B、 万古霉素、 戊替脒、 顺铂等） 或通过肾脏竞争性排泌的药物（如丙磺舒等） ；
ChiCTR2300068160	孕妇或哺乳期妇女；
ChiCTR2300068160	正在口服巴比妥酸类麻醉剂、 异烟肼、 离子交换树脂或噻嗪类利尿剂者；
ChiCTR2300068160	有吸毒史；
ChiCTR2300068160	其他研究者认为不适合参与本研究的原因。
ChiCTR2300067912	年龄<18岁；
ChiCTR2300067912	合并肝癌或其他消化道恶性肿瘤；
ChiCTR2300067912	伴有严重的心、 肺、 肾功能障碍者；
ChiCTR2300067912	数据缺失或失访患者。
ChiCTR2300067513	既往曾行TIPS或者外科分流手术；
ChiCTR2300067513	消化道出血、自发性腹膜炎、肝肾综合征、肝肺综合征等肝硬化并发症未控制或稳定<1周；
ChiCTR2300067513	心脏、肺、肾、脑等重大脏器功能不全；
ChiCTR2300067513	失明、弱视或屈光不正不能纠正；
ChiCTR2300067513	极低文化程度，不能阅读及书写简单的字词；
ChiCTR2300067513	来自高海拔地区（>2500米）；
ChiCTR2300067513	孕妇及哺乳期妇女；
ChiCTR2300067513	肝功能Child-Pugh评分超过12分，转氨酶超过正常上限5倍；
ChiCTR2300067513	合并米兰标准以外的肝细胞癌或全身其他恶性肿瘤。
ChiCTR2200067252	4周内出现食管胃静脉曲张破裂出血、肝性脑病、难治性腹水、肝肾综合征或自发性细菌性腹膜炎等严重并发症者；
ChiCTR2200067252	2周内存在未控制的严重感染或使用过抗生素者；
ChiCTR2200067252	乙肝患者HBV-DNA≥检测值下限；如已使用抗乙肝病毒药物治疗，用药时间＜12月，或研究过程中可能终止抗病毒治疗者；
ChiCTR2200067252	正在接受抗丙肝病毒治疗或入组前12月内接受过抗丙肝病毒治疗者；
ChiCTR2200067252	自身免疫性肝病患者如已接受熊去氧胆酸、激素或其它免疫抑制剂治疗，剂量稳定时间＜6月；
ChiCTR2200067252	近12周内有酗酒史及研究期间不能停止酗酒（折合乙醇量男性≥40g/天，女性≥20g/天）者；
ChiCTR2200067252	确诊或怀疑合并恶性肿瘤者（恶性肿瘤治愈超过5年者除外）；
ChiCTR2200067252	伴严重电解质异常（血Na＜125 mmol/L）或危及生命的白细胞下降（WBC＜1×10^9/L）；
ChiCTR2200067252	合并控制不佳的高血压、糖尿病或其它严重心、肺疾病（心功能不全 NYHA Ⅲ/Ⅳ级，慢性阻塞性肺病 GOLD C级及以上）者； 1
ChiCTR2200067252	吸毒、接受美沙酮治疗、存在药品依赖情况或精神疾病患者； 1
ChiCTR2200067252	HIV感染者； 1
ChiCTR2200067252	已知对利福昔明过敏者； 1
ChiCTR2200067252	妊娠哺乳期妇女或不排除妊娠可能的妇女； 1
ChiCTR2200067252	12周内参加过其它药物试验者； 1
ChiCTR2200067252	其它研究者认为不适合参加者。
ChiCTR2200067068	妊娠及哺乳期女性；
ChiCTR2200067068	无法配合完成项目研究或依从性不佳；
ChiCTR2200067068	合并HAV、HCV、HDV、HEV感染者；
ChiCTR2200067068	合并严重循环、神经、免疫系统疾病；
ChiCTR2200067068	自身免疫性、酒精性、药物性及遗传代谢性肝病等疾病。
ChiCTR2200067067	多发性内分泌肿瘤2型或甲状腺髓样癌的家族或个人史。家属定义为一级亲属；
ChiCTR2200067067	急性或慢性胰腺炎；
ChiCTR2200067067	筛查前5年内存在或有恶性肿瘤病史；
ChiCTR2200067067	合并HIV；
ChiCTR2200067067	糖尿病酮症酸中毒病史；
ChiCTR2200067067	心肌梗塞、中风、不稳定心绞痛或短暂性脑缺血发作；
ChiCTR2200067067	冠状动脉、颈动脉或外周动脉血运重建；
ChiCTR2200067067	妊娠；
ChiCTR2200067067	其他被医生认为不适合本研究的患者，例如其他严重疾病影响营养状态。
ChiCTR2200066924	既往曾行TIPS或外科分流手术；
ChiCTR2200066924	既往曾反复发作肝性脑病（大于2次）；
ChiCTR2200066924	门静脉海绵样变；
ChiCTR2200066924	肝功能 (Child-Pugh)评分大于11分；
ChiCTR2200066924	心脏、肺、肾、脑等重大脏器功能不全；
ChiCTR2200066924	米兰标准以外的肝癌及其他恶性肿瘤；
ChiCTR2200066924	来自高海拔地区（>2500米）；
ChiCTR2200066924	孕妇及哺乳期妇女。
ChiCTR2200066474	因语言障碍,听力受损，与研究者交流困难者。
ChiCTR2200066474	无法完成 MoCA检测（即非中文语言、意识水平不适当等）。
ChiCTR2200066474	在研究测试中有明显的肝性脑病（人、地点或时间定向障碍）。
ChiCTR2200066474	有活动性恶性肿瘤或终末期肾脏疾病 。
ChiCTR2200066474	确诊为痴呆 。
ChiCTR2200066474	不同意本研究者。
ChiCTR2200066470	意识不清、不能表达主观不适症状者及精神病患者；
ChiCTR2200066470	合并心力衰竭、呼吸衰竭、严重肾功能不全及合并其他严重感染性疾病者；
ChiCTR2200066470	有严重出血倾向者。
ChiCTR2200066470	合并糖尿病足者。
ChiCTR2200066470	孕妇及哺乳期妇女；
ChiCTR2200066470	正在进行其他临床研究者或研究者认为不适合参加研究的其他情况。
ChiCTR2200066457	存在肝外转移、肝功能Child C级的患者。
ChiCTR2200065456	严重的晚期肝癌或肝外恶性肿瘤的患者；
ChiCTR2200065456	慢性肾脏病和结构性肾损伤的患者；
ChiCTR2200065456	严重心肺功能障碍的患者；
ChiCTR2200065456	住院期间因行肝移植术、非AKI导致的死亡或其他原因无法继续监测其病情的患者；
ChiCTR2200065456	孕妇、哺乳期妇女；
ChiCTR2200065456	研究者认为可能存在依从性不良的患者。
ChiCTR2200064939	代谢性疾病，如糖尿病(DM)；
ChiCTR2200064939	中枢神经系统疾病，如显性肝性脑病、中风或帕金森病；
ChiCTR2200064939	其他神经病变原因，如毒素或药物暴露；
ChiCTR2200064939	颈椎病或腰椎病；
ChiCTR2200064939	肢体损伤；
ChiCTR2200064939	检测部位存在皮肤病变；
ChiCTR2200064939	肾损害(血清肌酐升高)；
ChiCTR2200064939	恶性肿瘤 。
ChiCTR2200064859	确诊有病毒性肝炎和肝血吸虫病患者；
ChiCTR2200064859	确诊有恶性肿瘤或癌症罹患/复发高风险者，或预计寿命< 60个月；
ChiCTR2200064859	目前正在参加其他药物或医疗器械临床试验，且尚未完成该研究的主要研究终点；
ChiCTR2200064859	孕妇或哺乳期妇女，或计划在近1年内受孕的妇女（育龄期妇女均须在基线手术前7天内接受妊娠试验）；
ChiCTR2200064859	酗酒/吸毒/药物滥用史；
ChiCTR2200064859	经研究者判断存在影响受试者安全或其他任何干扰试验结果评估的情况；
ChiCTR2200064859	数据不齐全的患者。
ChiCTR2200064761	恶性肿瘤患者；
ChiCTR2200064761	胰源性门静脉高压患者；
ChiCTR2200064761	脾动脉瘤患者；
ChiCTR2200064761	糖尿病控制欠佳的患者；
ChiCTR2200064761	严重感染的患者；
ChiCTR2200064761	无完整病例信息患者。
ChiCTR2200064593	筛选前6个月内接受过以IFN为基础的抗HBV治疗；或筛选前6个月内系统性使用强力免疫调节剂如肾上腺皮质激素、胸腺肽α等超过2周或预期这种药物将在研究期间使用；
ChiCTR2200064593	证据显示肝功能失代偿，包括但不限于：经复测确认TBIL＞10倍ULN或凝血酶原活动度（PTA）＜40％；或现有顽固性腹水、上消化道出血和/或肝性脑病，或存在慢性或慢加急性肝衰竭；
ChiCTR2200064593	原发性肝癌患者、肝脏影像学检查有结节者，伴或不伴甲胎蛋白（AFP）升高；
ChiCTR2200064593	合并有甲型肝炎、丙型肝炎、丁型肝炎、戊型肝炎等其他嗜肝病毒感染者；或合并HIV感染者；
ChiCTR2200064593	其他原因引起的肝病病史：包括酒精性肝病、重度非酒精性脂肪性肝病、药物性肝炎、自身免疫性肝炎、Wilson病及血色病等；
ChiCTR2200064593	有重要器官的严重损害者：如严重的心血管疾病或未控制的心律失常，肾功能异常者，控制不良的糖尿病，精神、神经系统疾病等；
ChiCTR2200064593	既往合并严重的系统性疾病的病史：如严重的血液系统疾病、肾脏疾病、消化系统疾病及呼吸系统疾病等；
ChiCTR2200064593	活动或疑似恶性肿瘤或筛选前5年内恶性肿瘤史；
ChiCTR2200064593	主要功能脏器移植史；
ChiCTR2200064593	过敏体质或严重过敏史者，尤其是试验药物及成分过敏者；
ChiCTR2200064593	长期大量饮酒（长期大量饮酒标准：折合乙醇量：男≥40g/d，女≥20g/d，或2周内有大量饮酒史，折合乙醇量为80g/d ）和/或精神活性物质，药物滥用者和依赖者；
ChiCTR2200064593	妊娠期或哺乳期女性；
ChiCTR2200064593	不能或不愿意提供知情同意或不能遵守试验要求者；
ChiCTR2200064593	研究者判断不适合入组的其他情况。
ChiCTR2200064110	有证据显示肝功能失代偿，包括但不限于：既往或现有腹水、上消化道出血和/或肝性脑病；既往或现有Child-Pugh评分B级或C 级；
ChiCTR2200064110	筛选期乙肝表面抗原(HbsAg)血清学检测呈阳性者；
ChiCTR2200064110	禁用利巴韦林治疗者，其中包括血红蛋白病（例如，地中海贫血或镰状细胞性贫血）；
ChiCTR2200064110	妊娠或正在哺乳的女性或配偶怀孕的男性；
ChiCTR2200064110	在基线/第1天访视之前使用禁用药物；
ChiCTR2200064110	已知索磷布韦、维帕他韦、利巴韦林、伏西瑞韦或其配方赋形剂过敏者；
ChiCTR2200064110	存在下列任何一种现病史或既往病史：
ChiCTR2200064110	存在非HCV所导致的慢性肝病（包括但不限于：血色素沉着症、威尔逊病、α-1抗胰蛋白酶缺乏症、胆管炎、自身免疫性肝炎、酒精性肝病、药物性肝病）；
ChiCTR2200064110	实质器官移植；
ChiCTR2200064110	严重的心（包括但不限于：心肌梗死[根据ECG和/或临床病史进行判断]）、肺（例如：肺浸润或肺功能受损）疾病或卟啉病；
ChiCTR2200064110	胰腺炎；
ChiCTR2200064110	存在自身免疫性疾病（如系统性红斑狼疮、类风湿性关节炎、结节病、银屑病）；
ChiCTR2200064110	最近5年内曾出现过因精神疾病而住院治疗、自杀企图和/或精神疾患所致的残疾；
ChiCTR2200064110	在签署知情同意书之前的5年内存在恶性肿瘤（手术切除且完全治愈的特定癌症[皮肤基底细胞癌等]除外）。目前正在评估潜在恶性肿瘤的受试者，不得进入本临床研究；
ChiCTR2200064110	严重的急性过敏反应（例如：荨麻疹、血管水肿、支气管痉挛、过敏性反应）或严重皮肤反应（例如：水泡性皮疹、Stevens Johnson症候群之皮肤与黏膜侵犯的反应）；
ChiCTR2200064110	研究者认为可能干扰治疗、评估或遵守研究方案，不适合纳入本研究者。
ChiCTR2200064110	有证据显示肝功能失代偿，包括但不限于：既往或现有腹水、上消化道出血和/或肝性脑病；既往或现有Child-Pugh评分B级或C 级；
ChiCTR2200064110	筛选期乙肝表面抗原(HbsAg)血清学检测呈阳性者；
ChiCTR2200064110	酗酒者；
ChiCTR2200064110	禁用利巴韦林治疗者，其中包括血红蛋白病（例如，地中海贫血或镰状细胞性贫血）；
ChiCTR2200064110	妊娠或正在哺乳的女性或配偶怀孕的男性；
ChiCTR2200064110	在基线/第1天访视之前使用禁用药物；
ChiCTR2200064110	已知索磷布韦、维帕他韦、利巴韦林、伏西瑞韦或其配方赋形剂过敏者；
ChiCTR2200064110	存在下列任何一种现病史或既往病史：
ChiCTR2200064110	存在非HCV所导致的慢性肝病（包括但不限于：血色素沉着症、威尔逊病、α-1抗胰蛋白酶缺乏症、胆管炎、自身免疫性肝炎、酒精性肝病、药物性肝病）；
ChiCTR2200064110	实质器官移植；
ChiCTR2200064110	严重的心（包括但不限于：心肌梗死[根据ECG和/或临床病史进行判断]）、肺（例如：肺浸润或肺功能受损）疾病或卟啉病；
ChiCTR2200064110	胰腺炎；
ChiCTR2200064110	存在自身免疫性疾病（如系统性红斑狼疮、类风湿性关节炎、结节病、银屑病）；
ChiCTR2200064110	最近5年内曾出现过因精神疾病而住院治疗、自杀企图和/或精神疾患所致的残疾；
ChiCTR2200064110	在签署知情同意书之前的5年内存在恶性肿瘤（手术切除且完全治愈的特定癌症[皮肤基底细胞癌等]除外）。目前正在评估潜在恶性肿瘤的受试者，不得进入本临床研究；
ChiCTR2200064110	严重的急性过敏反应（例如：荨麻疹、血管水肿、支气管痉挛、过敏性反应）或严重皮肤反应（例如：水泡性皮疹、Stevens Johnson症候群之皮肤与黏膜侵犯的反应）；
ChiCTR2200064110	研究者认为可能干扰治疗、评估或遵守研究方案，不适合纳入本研究者。
ChiCTR2200063166	近4周内服用过卡维地洛、普萘洛尔等非选择性β受体阻滞剂者；
ChiCTR2200063166	近4周内发生过显性肝性脑病、食管静脉曲张破裂出血者；
ChiCTR2200063166	既往经颈静脉肝内门体分流术（TIPS）者；
ChiCTR2200063166	近12周内有酗酒史及研究期间不能停止酗酒（折合乙醇量男性≥40g/天，女性≥20g/天）者；
ChiCTR2200063166	合并严重黄疸（血清Tbil水平≥85μmol/L）或明显肾功能不全
ChiCTR2200063166	伴严重电解质异常（血Na＜125 mmol/L）或危及生命的白细胞下降（WBC＜1×10^9/L）；
ChiCTR2200063166	合并控制不佳的高血压、糖尿病或其它严重心、肺疾病者；
ChiCTR2200063166	确诊或怀疑合并恶性肿瘤者；
ChiCTR2200063166	已行脾切除术者；
ChiCTR2200063166	HIV感染者；
ChiCTR2200063166	已知对阿尔维林过敏者；
ChiCTR2200063166	近4周内服用三环类抗抑郁药及类似药、普鲁卡因胺或衍生物、H1抗组织胺药、全身性胆碱能药物者；
ChiCTR2200063166	妊娠哺乳期妇女或不排除妊娠可能的妇女；
ChiCTR2200063166	12周内参加过其它药物试验者；
ChiCTR2200063166	其它研究者认为不适合参加者。
ChiCTR2200063028	肝硬化食管胃静脉曲张内镜治疗研究对象：
ChiCTR2200063028	肝硬化脾切除术后患者；
ChiCTR2200063028	肝硬化TIPS术后患者；
ChiCTR2200063028	急诊内镜下治疗患者；
ChiCTR2200063028	存在内镜治疗禁忌证者；
ChiCTR2200063028	肝硬化PVT抗凝治疗研究对象：
ChiCTR2200063028	凝血功能明显异常：凝血酶原活动度<40%；血小板计数<20×10^9/L；
ChiCTR2200063028	合并血液系统疾病；
ChiCTR2200063028	合并严重的心、脑血管系统疾病；
ChiCTR2200063028	不能遵医嘱按时随访者；
ChiCTR2200063028	在达到内镜治疗终点后，接受随访过程中，因其他疾病需要服用抗血小板聚集药物、抗凝药物的患者。
ChiCTR2200061980	合并可以引起血浆D-D水平升高的其他疾病，如恶性肿瘤、心脑血管性疾病、原发性血液系统疾病等；
ChiCTR2200061980	半年内使用抗凝或促凝药物；
ChiCTR2200061980	合并其他嗜肝病毒感染、药物性、酒精性、中毒性、遗传代谢性、自身免疫性肝病等肝脏疾病；
ChiCTR2200061980	肝癌；
ChiCTR2200061980	妊娠及哺乳期妇女；
ChiCTR2200061980	已诊断PVT形成或其他部位栓塞者；
ChiCTR2200061980	有脾脏切除术史、脾脏栓塞术史、分流术史或TIPS术史等；
ChiCTR2200061980	有恩替卡韦或肝爽颗粒使用禁忌症；
ChiCTR2200061980	随访不足半年者或三个月内死亡者。
ChiCTR2200061687	既往有性疾病史；
ChiCTR2200061687	正在接受抗凝治疗或停用抗凝药物时间不足；
ChiCTR2200061687	妊娠状态；
ChiCTR2200061687	有麻醉药物滥用、吸毒史，或具有精神病史；
ChiCTR2200061687	临床资料不完整者。
ChiCTR2200061590	年龄< 20岁或年龄> 80岁；
ChiCTR2200061590	严重的肾衰竭、心脏或呼吸衰竭；
ChiCTR2200061590	严重的血糖控制不佳；
ChiCTR2200061590	合并脑血管疾病，癫痫；有严重头部损伤或其他可能影响大脑功能的病史；
ChiCTR2200061590	行经颈静脉肝内门体分流术；
ChiCTR2200061590	在过去3个月内曾滥用酒精或药物，或正在服用精神药物及催眠药；
ChiCTR2200061590	过去有OHE发作史；
ChiCTR2200061590	过去1个月内使用过PPIs或乳果糖；
ChiCTR2200061590	不能或不愿配合完成研究的患者。
ChiCTR2200061578	伴有严重呼吸、心力衰竭、肾脏疾病、结缔组织疾病、结核感染、恶性肿瘤等慢性消耗性疾病的患者；
ChiCTR2200061578	合并有糖尿病、甲亢、甲减等影响能量代谢相关疾病的患者。
ChiCTR2200061116	妊娠或哺乳期女性；
ChiCTR2200061116	曾出现任何失代偿事件：静脉曲张破裂出血、腹水、显性肝性脑病；
ChiCTR2200061116	Child-Pugh score ≥ 10分；
ChiCTR2200061116	对非甾体药物、磺胺过敏；
ChiCTR2200061116	长期非甾体药物服用病史；
ChiCTR2200061116	有活动性消化道溃疡/出血，重度心力衰竭，冠状动脉搭桥手术等COX-2抑制剂禁忌症。
ChiCTR2200060815	合并肝脏或其他任何类型的恶性肿瘤者；
ChiCTR2200060815	1月内合并严重并发症者（消化道大出血/急性出血、肝性脑病（III-IV期）、严重/急性感染）；
ChiCTR2200060815	3月内接受过免疫抑制剂及免疫增强剂治疗者；
ChiCTR2200060815	1月内接受过输血及其他血液制品治疗者；
ChiCTR2200060815	主要器官移植病史或者发现严重的心、肺、肾、血液、内分泌等系统疾病者；
ChiCTR2200060815	严重的精神病史，尤其是抑郁症者；
ChiCTR2200060815	生命体征不稳定者；
ChiCTR2200060815	一般身体状况差不能耐受细胞移植术者；
ChiCTR2200060815	高度过敏体质或有严重过敏史者；
ChiCTR2200060815	HIV阳性者；
ChiCTR2200060815	在试验开始前 1 年内，吸毒或者接受美沙酮治疗者；
ChiCTR2200060815	有酗酒、药物滥用史，并未能有效戒除者；
ChiCTR2200060815	入组前3个月内参与过其他临床试验；
ChiCTR2200060815	孕妇、哺乳期妇女或近期有生育计划者；
ChiCTR2200060815	没有能力或者不愿意签署知情同意书，或者不遵守试验要求者；
ChiCTR2200060815	极个别期望值过高，或者不切合实际的要求者；
ChiCTR2200060815	研究者认为的患者不宜参加本研究的其他情况。
ChiCTR2200059406	拒绝行内镜检查；
ChiCTR2200059406	合并肝癌或其他脏器恶性肿瘤患者；
ChiCTR2200059406	数据不完整，不能有效计算Child-Pugh分级/数，病例资料中血管直径记录数据不完整；
ChiCTR2200059406	患者合并严重的并发症，如：肝功能衰竭、肾功能不全、心肺功能不全和进展期全身性疾病。
ChiCTR2200059393	伴有急性HAV、 HEV、 EBV或CMV等病毒的感染。
ChiCTR2200059393	其他组织、器官感染者。
ChiCTR2200059393	其他原因引起的腹水，如肾性腹水、心源性腹水。
ChiCTR2200059393	妊娠、吸毒或HIV感染者。
